Vice County,English Name,Irish Name,MM Min Eastings,MM Min Northings,MM Max Eastings,MM Max Northings,Irish Grid Min Eastings,Irish Grid Min Northings,Irish Grid Max Eastings,Irish Grid Max Northings,Irish Gird BL,Irish Grid TR,Width (m),Height (m),Scale X mm (250k),Scale Y mm (250k),Postgis Polygon,,,
H01,South Kerry,,-160000,200000,-50000,290000,20000,40000,130000,130000,V2040,R3030,110000,90000,440,360,,"st_setsrid(st_makebox2d(st_makepoint(20000,40000),st_makepoint(130000,130000)),29902)",,"insert into ir_vc_box values(1,'South Kerry',st_setsrid(st_makebox2d(st_makepoint(20000,40000),st_makepoint(130000,130000)),29902));"
H02,North Kerry,,-180000,220000,-40000,320000,0,60000,140000,160000,V0060,R4060,140000,100000,560,400,,"st_setsrid(st_makebox2d(st_makepoint(0,60000),st_makepoint(140000,160000)),29902)",,"insert into ir_vc_box values(2,'North Kerry',st_setsrid(st_makebox2d(st_makepoint(0,60000),st_makepoint(140000,160000)),29902));"
H03,West Cork,,-160000,170000,0,290000,20000,10000,180000,130000,V2010,R7030,160000,120000,640,480,,"st_setsrid(st_makebox2d(st_makepoint(20000,10000),st_makepoint(180000,130000)),29902)",,"insert into ir_vc_box values(3,'West Cork',st_setsrid(st_makebox2d(st_makepoint(20000,10000),st_makepoint(180000,130000)),29902));"
H04,Mid Cork,,-80000,190000,20000,300000,100000,30000,200000,140000,W0030,S0000,100000,110000,400,440,,"st_setsrid(st_makebox2d(st_makepoint(100000,30000),st_makepoint(200000,140000)),29902)",,"insert into ir_vc_box values(4,'Mid Cork',st_setsrid(st_makebox2d(st_makepoint(100000,30000),st_makepoint(200000,140000)),29902));"
H05,East Cork,,-40000,200000,50000,300000,140000,40000,230000,140000,W4040,S3040,90000,100000,360,400,,"st_setsrid(st_makebox2d(st_makepoint(140000,40000),st_makepoint(230000,140000)),29902)",,"insert into ir_vc_box values(5,'East Cork',st_setsrid(st_makebox2d(st_makepoint(140000,40000),st_makepoint(230000,140000)),29902));"
H06,Waterford,,-10000,220000,110000,300000,170000,60000,290000,140000,W7060,S9040,120000,80000,480,320,,"st_setsrid(st_makebox2d(st_makepoint(170000,60000),st_makepoint(290000,140000)),29902)",,"insert into ir_vc_box values(6,'Waterford',st_setsrid(st_makebox2d(st_makepoint(170000,60000),st_makepoint(290000,140000)),29902));"
H07,South Tipperary,,-20000,250000,80000,350000,160000,90000,260000,190000,W6090,S6090,100000,100000,400,400,,"st_setsrid(st_makebox2d(st_makepoint(160000,90000),st_makepoint(260000,190000)),29902)",,"insert into ir_vc_box values(7,'South Tipperary',st_setsrid(st_makebox2d(st_makepoint(160000,90000),st_makepoint(260000,190000)),29902));"
H08,Limerick,,-90000,260000,20000,340000,90000,100000,200000,180000,Q9000,S0080,110000,80000,440,320,,"st_setsrid(st_makebox2d(st_makepoint(90000,100000),st_makepoint(200000,180000)),29902)",,"insert into ir_vc_box values(8,'Limerick',st_setsrid(st_makebox2d(st_makepoint(90000,100000),st_makepoint(200000,180000)),29902));"
H09,Clare,,-130000,290000,20000,390000,50000,130000,200000,230000,Q5030,N0300,150000,100000,600,400,,"st_setsrid(st_makebox2d(st_makepoint(50000,130000),st_makepoint(200000,230000)),29902)",,"insert into ir_vc_box values(9,'Clare',st_setsrid(st_makebox2d(st_makepoint(50000,130000),st_makepoint(200000,230000)),29902));"
H10,North Tipperary,,-30000,280000,60000,390000,150000,120000,240000,230000,R5020,N4030,90000,110000,360,440,,"st_setsrid(st_makebox2d(st_makepoint(150000,120000),st_makepoint(240000,230000)),29902)",,"insert into ir_vc_box values(10,'North Tipperary',st_setsrid(st_makebox2d(st_makepoint(150000,120000),st_makepoint(240000,230000)),29902));"
H11,Kilkenny,,30000,260000,110000,360000,210000,100000,290000,200000,S1000,N9000,80000,100000,320,400,,"st_setsrid(st_makebox2d(st_makepoint(210000,100000),st_makepoint(290000,200000)),29902)",,"insert into ir_vc_box values(11,'Kilkenny',st_setsrid(st_makebox2d(st_makepoint(210000,100000),st_makepoint(290000,200000)),29902));"
H12,Wexford,,70000,240000,160000,350000,250000,80000,340000,190000,X5080,T4090,90000,110000,360,440,,"st_setsrid(st_makebox2d(st_makepoint(250000,80000),st_makepoint(340000,190000)),29902)",,"insert into ir_vc_box values(12,'Wexford',st_setsrid(st_makebox2d(st_makepoint(250000,80000),st_makepoint(340000,190000)),29902));"
H13,Carlow,,70000,280000,140000,360000,250000,120000,320000,200000,S5020,O2000,70000,80000,280,320,,"st_setsrid(st_makebox2d(st_makepoint(250000,120000),st_makepoint(320000,200000)),29902)",,"insert into ir_vc_box values(13,'Carlow',st_setsrid(st_makebox2d(st_makepoint(250000,120000),st_makepoint(320000,200000)),29902));"
H14,Laios,,20000,320000,110000,390000,200000,160000,290000,230000,S0060,N9030,90000,70000,360,280,,"st_setsrid(st_makebox2d(st_makepoint(200000,160000),st_makepoint(290000,230000)),29902)",,"insert into ir_vc_box values(14,'Laios',st_setsrid(st_makebox2d(st_makepoint(200000,160000),st_makepoint(290000,230000)),29902));"
H15,South-east Galway,,-60000,340000,40000,410000,120000,180000,220000,250000,R2080,N2050,100000,70000,400,280,,"st_setsrid(st_makebox2d(st_makepoint(120000,180000),st_makepoint(220000,250000)),29902)",,"insert into ir_vc_box values(15,'South-east Galway',st_setsrid(st_makebox2d(st_makepoint(120000,180000),st_makepoint(220000,250000)),29902));"
H16,West Galway,,-150000,370000,-40000,440000,30000,210000,140000,280000,L3010,M4080,110000,70000,440,280,,"st_setsrid(st_makebox2d(st_makepoint(30000,210000),st_makepoint(140000,280000)),29902)",,"insert into ir_vc_box values(16,'West Galway',st_setsrid(st_makebox2d(st_makepoint(30000,210000),st_makepoint(140000,280000)),29902));"
H17,North-east Galway,,-80000,370000,20000,450000,100000,210000,200000,290000,M0010,N0090,100000,80000,400,320,,"st_setsrid(st_makebox2d(st_makepoint(100000,210000),st_makepoint(200000,290000)),29902)",,"insert into ir_vc_box values(17,'North-east Galway',st_setsrid(st_makebox2d(st_makepoint(100000,210000),st_makepoint(200000,290000)),29902));"
H18,Offaly,,0,330000,100000,420000,180000,170000,280000,260000,R8070,N8060,100000,90000,400,360,,"st_setsrid(st_makebox2d(st_makepoint(180000,170000),st_makepoint(280000,260000)),29902)",,"insert into ir_vc_box values(18,'Offaly',st_setsrid(st_makebox2d(st_makepoint(180000,170000),st_makepoint(280000,260000)),29902));"
H19,Kildare,,60000,320000,140000,420000,240000,160000,320000,260000,S4060,O2060,80000,100000,320,400,,"st_setsrid(st_makebox2d(st_makepoint(240000,160000),st_makepoint(320000,260000)),29902)",,"insert into ir_vc_box values(19,'Kildare',st_setsrid(st_makebox2d(st_makepoint(240000,160000),st_makepoint(320000,260000)),29902));"
H20,Wicklow,,90000,310000,170000,400000,270000,150000,350000,240000,S7050,O5040,80000,90000,320,360,,"st_setsrid(st_makebox2d(st_makepoint(270000,150000),st_makepoint(350000,240000)),29902)",,"insert into ir_vc_box values(20,'Wicklow',st_setsrid(st_makebox2d(st_makepoint(270000,150000),st_makepoint(350000,240000)),29902));"
H21,Dublin,,100000,360000,160000,440000,280000,200000,340000,280000,N8000,O4080,60000,80000,240,320,,"st_setsrid(st_makebox2d(st_makepoint(280000,200000),st_makepoint(340000,280000)),29902)",,"insert into ir_vc_box values(21,'Dublin',st_setsrid(st_makebox2d(st_makepoint(280000,200000),st_makepoint(340000,280000)),29902));"
H22,Meath,,50000,380000,150000,470000,230000,220000,330000,310000,N3020,J3010,100000,90000,400,360,,"st_setsrid(st_makebox2d(st_makepoint(230000,220000),st_makepoint(330000,310000)),29902)",,"insert into ir_vc_box values(22,'Meath',st_setsrid(st_makebox2d(st_makepoint(230000,220000),st_makepoint(330000,310000)),29902));"
H23,Westmeath,,10000,380000,100000,460000,190000,220000,280000,300000,M9020,H8000,90000,80000,360,320,,"st_setsrid(st_makebox2d(st_makepoint(190000,220000),st_makepoint(280000,300000)),29902)",,"insert into ir_vc_box values(23,'Westmeath',st_setsrid(st_makebox2d(st_makepoint(190000,220000),st_makepoint(280000,300000)),29902));"
H24,Longford,,0,400000,80000,480000,180000,240000,260000,320000,N8040,H6020,80000,80000,320,320,,"st_setsrid(st_makebox2d(st_makepoint(180000,240000),st_makepoint(260000,320000)),29902)",,"insert into ir_vc_box values(24,'Longford',st_setsrid(st_makebox2d(st_makepoint(180000,240000),st_makepoint(260000,320000)),29902));"
H25,Roscommon,,-50000,370000,40000,490000,130000,210000,220000,330000,M3010,H2030,90000,120000,360,480,,"st_setsrid(st_makebox2d(st_makepoint(130000,210000),st_makepoint(220000,330000)),29902)",,"insert into ir_vc_box values(25,'Roscommon',st_setsrid(st_makebox2d(st_makepoint(130000,210000),st_makepoint(220000,330000)),29902));"
H26,East Mayo,,-90000,390000,0,500000,90000,230000,180000,340000,L9030,G8040,90000,110000,360,440,,"st_setsrid(st_makebox2d(st_makepoint(90000,230000),st_makepoint(180000,340000)),29902)",,"insert into ir_vc_box values(26,'East Mayo',st_setsrid(st_makebox2d(st_makepoint(90000,230000),st_makepoint(180000,340000)),29902));"
H27,West Mayo,,-140000,400000,-40000,520000,40000,240000,140000,360000,L4040,G4060,100000,120000,400,480,,"st_setsrid(st_makebox2d(st_makepoint(40000,240000),st_makepoint(140000,360000)),29902)",,"insert into ir_vc_box values(27,'West Mayo',st_setsrid(st_makebox2d(st_makepoint(40000,240000),st_makepoint(140000,360000)),29902));"
H28,Sligo,,-70000,440000,20000,530000,110000,280000,200000,370000,M1080,H0070,90000,90000,360,360,,"st_setsrid(st_makebox2d(st_makepoint(110000,280000),st_makepoint(200000,370000)),29902)",,"insert into ir_vc_box values(28,'Sligo',st_setsrid(st_makebox2d(st_makepoint(110000,280000),st_makepoint(200000,370000)),29902));"
H29,Leitrim,,-20000,430000,60000,530000,160000,270000,240000,370000,M6070,H4070,80000,100000,320,400,,"st_setsrid(st_makebox2d(st_makepoint(160000,270000),st_makepoint(240000,370000)),29902)",,"insert into ir_vc_box values(29,'Leitrim',st_setsrid(st_makebox2d(st_makepoint(160000,270000),st_makepoint(240000,370000)),29902));"
H30,Cavan,,0,430000,120000,510000,180000,270000,300000,350000,M8070,J0050,120000,80000,480,320,,"st_setsrid(st_makebox2d(st_makepoint(180000,270000),st_makepoint(300000,350000)),29902)",,"insert into ir_vc_box values(30,'Cavan',st_setsrid(st_makebox2d(st_makepoint(180000,270000),st_makepoint(300000,350000)),29902));"
H31,Louth,,90000,420000,160000,490000,270000,260000,340000,330000,N7060,J4030,70000,70000,280,280,,"st_setsrid(st_makebox2d(st_makepoint(270000,260000),st_makepoint(340000,330000)),29902)",,"insert into ir_vc_box values(31,'Louth',st_setsrid(st_makebox2d(st_makepoint(270000,260000),st_makepoint(340000,330000)),29902));"
H32,Monaghan,,50000,440000,130000,530000,230000,280000,310000,370000,N3080,J1070,80000,90000,320,360,,"st_setsrid(st_makebox2d(st_makepoint(230000,280000),st_makepoint(310000,370000)),29902)",,"insert into ir_vc_box values(32,'Monaghan',st_setsrid(st_makebox2d(st_makepoint(230000,280000),st_makepoint(310000,370000)),29902));"
H33,Fermanagh,,0,470000,80000,540000,180000,310000,260000,380000,G8010,H6080,80000,70000,320,280,,"st_setsrid(st_makebox2d(st_makepoint(180000,310000),st_makepoint(260000,380000)),29902)",,"insert into ir_vc_box values(33,'Fermanagh',st_setsrid(st_makebox2d(st_makepoint(180000,310000),st_makepoint(260000,380000)),29902));"
H34,East Donegal,,-20000,500000,100000,630000,160000,340000,280000,470000,G6040,C8070,120000,130000,480,520,,"st_setsrid(st_makebox2d(st_makepoint(160000,340000),st_makepoint(280000,470000)),29902)",,"insert into ir_vc_box values(34,'East Donegal',st_setsrid(st_makebox2d(st_makepoint(160000,340000),st_makepoint(280000,470000)),29902));"
H35,West Donegal,,-50000,510000,70000,620000,130000,350000,250000,460000,G3050,C5050,120000,110000,480,440,,"st_setsrid(st_makebox2d(st_makepoint(130000,350000),st_makepoint(250000,460000)),29902)",,"insert into ir_vc_box values(35,'West Donegal',st_setsrid(st_makebox2d(st_makepoint(130000,350000),st_makepoint(250000,460000)),29902));"
H36,Tyrone,,10000,490000,140000,590000,190000,330000,320000,430000,G9030,D2030,130000,100000,520,400,,"st_setsrid(st_makebox2d(st_makepoint(190000,330000),st_makepoint(320000,430000)),29902)",,"insert into ir_vc_box values(36,'Tyrone',st_setsrid(st_makebox2d(st_makepoint(190000,330000),st_makepoint(320000,430000)),29902));"
H37,Armagh,,80000,460000,150000,540000,260000,300000,330000,380000,H6000,J3080,70000,80000,280,320,,"st_setsrid(st_makebox2d(st_makepoint(260000,300000),st_makepoint(330000,380000)),29902)",,"insert into ir_vc_box values(37,'Armagh',st_setsrid(st_makebox2d(st_makepoint(260000,300000),st_makepoint(330000,380000)),29902));"
H38,Down,,110000,460000,200000,560000,290000,300000,380000,400000,H9000,D8000,90000,100000,360,400,,"st_setsrid(st_makebox2d(st_makepoint(290000,300000),st_makepoint(380000,400000)),29902)",,"insert into ir_vc_box values(38,'Down',st_setsrid(st_makebox2d(st_makepoint(290000,300000),st_makepoint(380000,400000)),29902));"
H39,Antrim,,90000,500000,180000,630000,270000,340000,360000,470000,H7040,D6070,90000,130000,360,520,,"st_setsrid(st_makebox2d(st_makepoint(270000,340000),st_makepoint(360000,470000)),29902)",,"insert into ir_vc_box values(39,'Antrim',st_setsrid(st_makebox2d(st_makepoint(270000,340000),st_makepoint(360000,470000)),29902));"
H40,Londonderry/Derry,,40000,520000,130000,610000,220000,360000,310000,450000,H2060,D1050,90000,90000,360,360,,"st_setsrid(st_makebox2d(st_makepoint(220000,360000),st_makepoint(310000,450000)),29902)",,"insert into ir_vc_box values(40,'Londonderry/Derry',st_setsrid(st_makebox2d(st_makepoint(220000,360000),st_makepoint(310000,450000)),29902));"
,`,,,,,,,,,,,,,,,,,,,
